Year,Sex,NOC,Count
2008,M,ISV,6
2008,M,ITA,203
2008,M,JAM,23
2008,M,JPN,167
2008,M,PAK,19
2008,M,POR,51
2008,M,PRK,21
2008,M,QAT,20
2008,M,RUS,231
2008,M,USA,306
2012,F,AUS,184
2012,F,BAN,1
2012,F,CAN,154
2012,F,CHN,215
2012,F,FRA,142
2012,F,GBR,257
2012,F,GER,171
2012,F,HUN,59
2012,F,IND,23
2012,F,ISV,3
2012,F,ITA,123
2012,F,JAM,22
2012,F,JPN,155
2012,F,PAK,2
2012,F,POR,32
2012,F,PRK,37
2012,F,QAT,4
2012,F,RUS,226
2012,F,USA,268
2012,M,AUS,221
2012,M,BAN,4
2012,M,CAN,119
2012,M,CHN,160
2012,M,FRA,182
2012,M,GBR,273
2012,M,GER,212
2012,M,HUN,93
2012,M,IND,58
2012,M,ISV,4
2012,M,ITA,158
2012,M,JAM,23
2012,M,JPN,136
2012,M,PAK,19
2012,M,POR,44
2012,M,PRK,15
2012,M,QAT,8
2012,M,RUS,203
2012,M,USA,262
2016,F,AUS,212
2016,F,BAN,3
2016,F,CAN,183
2016,F,CHN,241
2016,F,FRA,167
2016,F,GBR,159
2016,F,GER,194
2016,F,HUN,66
2016,F,IND,51
2016,F,ISV,2
2016,F,ITA,141
2016,F,JAM,31
2016,F,JPN,164
2016,F,PAK,3
2016,F,POR,29
2016,F,PRK,20
2016,F,QAT,2
2016,F,RUS,142
2016,F,USA,291
2016,M,AUS,208
2016,M,BAN,4
2016,M,CAN,127
2016,M,CHN,151
2016,M,FRA,225
2016,M,GBR,201
2016,M,GER,224
2016,M,HUN,88
2016,M,IND,61
2016,M,ISV,5
2016,M,ITA,168
2016,M,JAM,25
2016,M,JPN,171
2016,M,PAK,4
2016,M,POR,61
2016,M,PRK,11
2016,M,QAT,35
2016,M,RUS,142
2016,M,USA,264
