Age,NOC,Sport
21.0,FRA,Swimming
21.0,GDR,Sailing
29.0,FRA,Fencing
21.0,FRA,Rowing
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
25.0,FRA,Gymnastics
23.0,FRA,Rowing
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Gymnastics
24.0,FRA,Modern Pentathlon
24.0,FRA,Modern Pentathlon
22.0,GBR,Judo
23.0,GBR,Athletics
25.0,GBR,Rowing
25.0,JAM,Athletics
25.0,JAM,Athletics
25.0,JAM,Athletics
23.0,AUS,Cycling
23.0,AUS,Cycling
20.0,POR,Judo
21.0,GBR,Fencing
21.0,GBR,Fencing
26.0,AUS,Basketball
22.0,GDR,Athletics
22.0,GDR,Athletics
23.0,FRA,Rowing
21.0,AUS,Swimming
21.0,AUS,Swimming
21.0,AUS,Swimming
21.0,AUS,Swimming
28.0,GDR,Rowing
21.0,ITA,Athletics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
22.0,GDR,Gymnastics
17.0,AUS,Swimming
17.0,AUS,Swimming
23.0,FRA,Fencing
23.0,FRA,Fencing
17.0,AUS,Wrestling
27.0,GBR,Diving
19.0,AUS,Swimming
19.0,AUS,Swimming
19.0,AUS,Swimming
19.0,AUS,Swimming
19.0,AUS,Swimming
19.0,AUS,Swimming
24.0,GBR,Canoeing
22.0,GBR,Rowing
14.0,GBR,Swimming
29.0,FRA,Rowing
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
24.0,GDR,Gymnastics
21.0,ITA,Basketball
23.0,GBR,Fencing
23.0,GBR,Fencing
23.0,GBR,Fencing
22.0,AUS,Water Polo
32.0,GBR,Weightlifting
16.0,URS,Swimming
25.0,GBR,Rowing
25.0,HUN,Handball
28.0,HUN,Canoeing
24.0,URS,Sailing
38.0,URS,Sailing
20.0,URS,Shooting
21.0,GDR,Volleyball
20.0,GDR,Rowing
25.0,URS,Athletics
25.0,URS,Athletics
31.0,GBR,Weightlifting
25.0,GBR,Weightlifting
24.0,URS,Fencing
24.0,URS,Fencing
21.0,GDR,Athletics
21.0,GDR,Athletics
27.0,GDR,Wrestling
26.0,URS,Archery
22.0,URS,Hockey
26.0,URS,Wrestling
21.0,URS,Hockey
21.0,URS,Athletics
26.0,URS,Athletics
33.0,ITA,Diving
22.0,FRA,Cycling
22.0,FRA,Cycling
17.0,AUS,Water Polo
25.0,ITA,Wrestling
20.0,JAM,Athletics
20.0,JAM,Athletics
19.0,GBR,Swimming
19.0,GBR,Swimming
19.0,GBR,Swimming
23.0,AUS,Athletics
21.0,POR,Athletics
30.0,GBR,Athletics
43.0,ITA,Archery
25.0,AUS,Judo
24.0,GBR,Rowing
15.0,ITA,Swimming
15.0,ITA,Swimming
23.0,GBR,Swimming
21.0,ITA,Equestrianism
21.0,ITA,Equestrianism
21.0,FRA,Cycling
22.0,ITA,Cycling
28.0,GBR,Fencing
16.0,ITA,Swimming
19.0,ITA,Fencing
30.0,URS,Handball
27.0,IND,Athletics
27.0,IND,Athletics
25.0,PRK,Athletics
28.0,FRA,Athletics
19.0,IND,Hockey
28.0,FRA,Weightlifting
18.0,URS,Swimming
20.0,GBR,Gymnastics
20.0,GBR,Gymnastics
20.0,GBR,Gymnastics
20.0,GBR,Gymnastics
20.0,GBR,Gymnastics
24.0,URS,Football
33.0,URS,Rowing
33.0,URS,Rowing
21.0,URS,Football
20.0,URS,Athletics
20.0,URS,Athletics
25.0,URS,Athletics
